,session_ID,Garage_ID,User_ID,User_type,Shared_ID,Start_plugin,Start_plugin_hour,End_plugout,End_plugout_hour,El_kWh,Duration_hours,month_plugin,weekdays_plugin,Plugin_category,Duration_category,end_soc,start_soc,start_day_idx,end_day_idx,delta_t,delta_soc_rounded
1358,1359,Bl2,Bl2-6,Private,,2019-06-21 06:42:00,6,2019-06-21 09:35:00,9.0,10.31,2.8833333333333333,Jun,Friday,early morning (6-9),Less than 3 hours,1,0.872,40,57,17,0.12
1359,1360,AdO3,AdO3-3,Private,,2019-06-21 11:00:00,11,2019-06-21 15:20:00,15.0,3.71,4.333333333333333,Jun,Friday,late morning (9-12),Between 3 and 6 hours,1,0.954,66,92,26,0.04
1360,1361,Bl2,Bl2-3,Private,,2019-06-21 15:34:00,15,2019-06-22 11:56:00,11.0,21.18,20.366666666666667,Jun,Friday,late afternoon (15-18),More than 18 hours,1,0.738,93,215,122,0.26
1363,1364,AdO3,AdO3-2,Private,,2019-06-21 17:48:00,17,2019-06-21 22:45:00,22.0,3.77,4.95,Jun,Friday,late afternoon (15-18),Between 3 and 6 hours,1,0.953,106,136,30,0.04
1364,1365,Bl2,Bl2-1,Private,,2019-06-21 18:22:00,18,2019-06-22 06:54:00,6.0,15.94,12.533333333333333,Jun,Friday,early evening (18-21),Between 12 and 15 hours,1,0.803,110,185,75,0.2
1365,1366,Bl2,Bl2-5,Private,,2019-06-21 23:13:00,23,2019-06-22 10:22:00,10.0,8.0,11.15,Jun,Friday,late evening (21-midnight),Between 9 and 12 hours,1,0.901,139,206,67,0.1
1366,1367,Bl2,Share-7,Shared,Shared-6,2019-06-22 10:21:00,10,2019-06-22 15:55:00,15.0,38.16,5.566666666666666,Jun,Saturday,late morning (9-12),Between 3 and 6 hours,1,0.528,62,95,33,0.48
1370,1371,Bl2,Bl2-5,Private,,2019-06-22 19:59:00,19,2019-06-23 15:05:00,15.0,6.89,19.1,Jun,Saturday,early evening (18-21),Between 15 and 18 hours,1,0.915,119,234,115,0.08
1371,1372,UT9,Share-6,Shared,Shared-12,2019-06-22 22:34:00,22,2019-06-23 11:36:00,11.0,20.24,13.033333333333333,Jun,Saturday,late evening (21-midnight),Between 9 and 12 hours,1,0.75,135,213,78,0.26
1372,1373,Bl2,Bl2-1,Private,,2019-06-23 12:59:00,12,2019-06-23 15:16:00,15.0,3.04,2.283333333333333,Jun,Sunday,early afternoon (12-15),Less than 3 hours,1,0.962,77,91,14,0.04
1373,1374,UT9,Share-13,Shared,Shared-12,2019-06-23 13:37:00,13,2019-06-23 16:39:00,16.0,10.99,3.033333333333333,Jun,Sunday,early afternoon (12-15),Between 3 and 6 hours,1,0.864,81,99,18,0.14
1374,1375,Bl2,Bl2-5,Private,,2019-06-23 17:26:00,17,2019-06-23 20:55:00,20.0,11.52,3.4833333333333334,Jun,Sunday,late afternoon (15-18),Between 3 and 6 hours,1,0.858,104,125,21,0.14
1375,1376,AsO2,Share-5,Shared,Shared-5,2019-06-23 17:43:00,17,2019-06-23 20:44:00,20.0,20.29,3.0166666666666666,Jun,Sunday,late afternoon (15-18),Between 3 and 6 hours,1,0.749,106,124,18,0.26
1376,1377,Bl2,Bl2-5,Private,,2019-06-23 22:05:00,22,2019-06-24 08:49:00,8.0,3.06,10.733333333333333,Jun,Sunday,late evening (21-midnight),Between 9 and 12 hours,1,0.962,132,196,64,0.04
1377,1378,AdO3,AdO3-3,Private,,2019-06-23 23:49:00,23,2019-06-24 09:46:00,9.0,20.37,9.95,Jun,Sunday,late evening (21-midnight),Between 9 and 12 hours,1,0.748,142,202,60,0.26
1378,1379,AdO1,AdO1-1,Private,,2019-06-24 01:40:00,1,2019-06-24 13:32:00,13.0,19.68,11.866666666666667,Jun,Monday,early night (midnight-3),Between 9 and 12 hours,1,0.757,10,81,71,0.24
1380,1381,AsO2,AsO2-1,Private,,2019-06-24 16:32:00,16,2019-06-25 07:24:00,7.0,11.97,14.866666666666667,Jun,Monday,late afternoon (15-18),Between 12 and 15 hours,1,0.852,99,188,89,0.14
1381,1382,Bl2,Share-7,Shared,Shared-6,2019-06-24 17:33:00,17,2019-06-25 07:45:00,7.0,58.16,14.2,Jun,Monday,late afternoon (15-18),Between 12 and 15 hours,1,0.281,105,190,85,0.72
1382,1383,Bl2,Bl2-1,Private,,2019-06-24 20:13:00,20,2019-06-24 23:25:00,23.0,11.56,3.2,Jun,Monday,early evening (18-21),Between 3 and 6 hours,1,0.857,121,140,19,0.14
1383,1384,UT9,Share-14,Shared,Shared-12,2019-06-24 20:19:00,20,2019-06-24 23:52:00,23.0,21.18,3.55,Jun,Monday,early evening (18-21),Between 3 and 6 hours,1,0.738,121,143,22,0.26
1384,1385,AdO3,AdO3-2,Private,,2019-06-24 20:54:00,20,2019-06-25 07:08:00,7.0,14.86,10.233333333333333,Jun,Monday,early evening (18-21),Between 9 and 12 hours,1,0.816,125,186,61,0.18
1385,1386,Bl2,Bl2-5,Private,,2019-06-24 21:33:00,21,2019-06-25 07:07:00,7.0,9.79,9.566666666666666,Jun,Monday,late evening (21-midnight),Between 9 and 12 hours,1,0.879,129,186,57,0.12
1386,1387,UT9,Share-11,Shared,Shared-11,2019-06-24 22:53:00,22,2019-06-25 01:01:00,1.0,12.51,2.1333333333333333,Jun,Monday,late evening (21-midnight),Less than 3 hours,1,0.845,137,150,13,0.16
1387,1388,Bl2,Bl2-2,Private,,2019-06-25 11:45:00,11,2019-06-25 13:33:00,13.0,6.53,1.8,Jun,Tuesday,late morning (9-12),Less than 3 hours,1,0.919,70,81,11,0.08
1388,1389,AdO1,AdO1-3,Private,,2019-06-25 12:04:00,12,2019-06-25 13:45:00,13.0,5.94,1.6833333333333333,Jun,Tuesday,early afternoon (12-15),Less than 3 hours,1,0.927,72,82,10,0.08
1389,1390,UT9,Share-11,Shared,Shared-12,2019-06-25 15:07:00,15,2019-06-25 18:04:00,18.0,15.12,2.95,Jun,Tuesday,late afternoon (15-18),Less than 3 hours,1,0.813,90,108,18,0.18
1390,1391,Bl2,Bl2-3,Private,,2019-06-25 15:31:00,15,2019-06-26 07:45:00,7.0,17.49,16.233333333333334,Jun,Tuesday,late afternoon (15-18),Between 15 and 18 hours,1,0.784,93,190,97,0.22
1392,1393,AsO2,Share-38,Shared,Shared-5,2019-06-25 15:44:00,15,2019-06-25 18:49:00,18.0,20.18,3.0833333333333335,Jun,Tuesday,late afternoon (15-18),Between 3 and 6 hours,1,0.75,94,112,18,0.24
1393,1394,Bl2,Bl2-5,Private,,2019-06-25 15:59:00,15,2019-06-25 18:06:00,18.0,7.3,2.1166666666666667,Jun,Tuesday,late afternoon (15-18),Less than 3 hours,1,0.91,95,108,13,0.1
1394,1395,AdO1,AdO1-3,Private,,2019-06-25 18:27:00,18,2019-06-25 21:26:00,21.0,10.44,2.9833333333333334,Jun,Tuesday,early evening (18-21),Less than 3 hours,1,0.871,110,128,18,0.12
1395,1396,AdO3,AdO3-2,Private,,2019-06-25 19:10:00,19,2019-06-26 11:52:00,11.0,10.41,16.7,Jun,Tuesday,early evening (18-21),Between 15 and 18 hours,1,0.871,115,215,100,0.12
1396,1397,Bl2,Bl2-4,Private,,2019-06-25 19:52:00,19,2019-06-26 11:51:00,11.0,18.95,15.983333333333333,Jun,Tuesday,early evening (18-21),Between 15 and 18 hours,1,0.766,119,215,96,0.24
1397,1398,Bl2,Bl2-5,Private,,2019-06-25 20:10:00,20,2019-06-25 23:02:00,23.0,6.61,2.8666666666666667,Jun,Tuesday,early evening (18-21),Less than 3 hours,1,0.918,121,138,17,0.08
1398,1399,Bl2,Bl2-5,Private,,2019-06-25 23:25:00,23,2019-06-26 07:09:00,7.0,2.84,7.733333333333333,Jun,Tuesday,late evening (21-midnight),Between 6 and 9  hours,1,0.965,140,186,46,0.04
1399,1400,Bl2,Bl2-2,Private,,2019-06-26 00:03:00,0,2019-06-26 10:03:00,10.0,19.86,10.0,Jun,Wednesday,early night (midnight-3),Between 9 and 12 hours,1,0.754,0,60,60,0.24
1400,1401,AsO2,Share-4,Shared,Shared-5,2019-06-26 01:34:00,1,2019-06-26 07:31:00,7.0,7.26,5.95,Jun,Wednesday,early night (midnight-3),Between 3 and 6 hours,1,0.91,9,45,36,0.08
1401,1402,Bl2,Bl2-2,Private,,2019-06-26 15:46:00,15,2019-06-26 18:31:00,18.0,9.95,2.75,Jun,Wednesday,late afternoon (15-18),Less than 3 hours,1,0.877,94,111,17,0.12
1402,1403,Bl2,Bl2-5,Private,,2019-06-26 16:03:00,16,2019-06-26 18:23:00,18.0,7.77,2.3333333333333335,Jun,Wednesday,late afternoon (15-18),Less than 3 hours,1,0.904,96,110,14,0.1
1403,1404,AsO2,AsO6-1,Shared,Shared-5,2019-06-26 16:09:00,16,2019-06-27 06:48:00,6.0,36.0,14.65,Jun,Wednesday,late afternoon (15-18),Between 12 and 15 hours,1,0.555,96,184,88,0.44
1404,1405,AdO1,AdO1-2,Private,,2019-06-26 17:00:00,17,2019-06-27 10:34:00,10.0,8.51,17.566666666666666,Jun,Wednesday,late afternoon (15-18),Between 15 and 18 hours,1,0.895,102,207,105,0.1
1405,1406,AsO2,AsO10-4,Shared,Shared-4,2019-06-26 17:04:00,17,2019-06-26 21:47:00,21.0,23.55,4.716666666666667,Jun,Wednesday,late afternoon (15-18),Between 3 and 6 hours,1,0.709,102,130,28,0.3
1406,1407,Bl2,Bl2-1,Private,,2019-06-26 18:31:00,18,2019-06-27 07:05:00,7.0,16.02,12.566666666666666,Jun,Wednesday,early evening (18-21),Between 12 and 15 hours,1,0.802,111,186,75,0.2
1407,1408,Bl2,Bl2-5,Private,,2019-06-26 20:23:00,20,2019-06-27 07:07:00,7.0,12.23,10.733333333333333,Jun,Wednesday,early evening (18-21),Between 9 and 12 hours,1,0.849,122,186,64,0.16
1408,1409,Bl2,Share-3,Shared,Shared-6,2019-06-26 21:08:00,21,2019-06-27 00:11:00,0.0,20.41,3.05,Jun,Wednesday,late evening (21-midnight),Between 3 and 6 hours,1,0.748,126,145,19,0.26
1409,1410,Bl2,Bl2-2,Private,,2019-06-27 00:11:00,0,2019-06-27 11:23:00,11.0,8.93,11.2,Jun,Thursday,early night (midnight-3),Between 9 and 12 hours,1,0.89,1,68,67,0.12
1410,1411,Bl2,MS22-1,Shared,Shared-6,2019-06-27 11:52:00,11,2019-06-27 15:05:00,15.0,22.97,3.216666666666667,Jun,Thursday,late morning (9-12),Between 3 and 6 hours,1,0.716,71,90,19,0.28
1411,1412,AdO1,AdO1-1,Private,,2019-06-27 15:05:00,15,2019-06-28 11:53:00,11.0,22.53,20.8,Jun,Thursday,late afternoon (15-18),More than 18 hours,1,0.721,90,215,125,0.28
1412,1413,AdO3,AdO3-3,Private,,2019-06-27 15:20:00,15,2019-06-28 07:44:00,7.0,10.47,16.4,Jun,Thursday,late afternoon (15-18),Between 15 and 18 hours,1,0.871,92,190,98,0.12
1413,1414,Bl2,Bl2-5,Private,,2019-06-27 16:09:00,16,2019-06-27 20:00:00,20.0,8.63,3.85,Jun,Thursday,late afternoon (15-18),Between 3 and 6 hours,1,0.893,96,120,24,0.1
1417,1418,AsO2,AsO6-1,Shared,Shared-5,2019-06-27 20:44:00,20,2019-06-28 04:24:00,4.0,39.55,7.666666666666667,Jun,Thursday,early evening (18-21),Between 6 and 9  hours,1,0.511,124,170,46,0.48
1418,1419,Bl2,Bl2-2,Private,,2019-06-27 20:52:00,20,2019-06-28 09:22:00,9.0,7.21,12.5,Jun,Thursday,early evening (18-21),Between 12 and 15 hours,1,0.911,125,200,75,0.08
1419,1420,Bl2,Bl2-5,Private,,2019-06-27 21:08:00,21,2019-06-28 07:23:00,7.0,4.46,10.25,Jun,Thursday,late evening (21-midnight),Between 9 and 12 hours,1,0.945,126,188,62,0.06
1420,1421,Bl2,Share-8,Shared,Shared-6,2019-06-27 23:06:00,23,2019-06-28 11:39:00,11.0,19.72,12.55,Jun,Thursday,late evening (21-midnight),Between 12 and 15 hours,1,0.756,138,213,75,0.24
1421,1422,Bl2,Bl2-5,Private,,2019-06-28 14:05:00,14,2019-06-28 15:07:00,15.0,3.02,1.0333333333333334,Jun,Friday,early afternoon (12-15),Less than 3 hours,1,0.963,84,90,6,0.04
1422,1423,AdO3,AdO3-3,Private,,2019-06-28 14:39:00,14,2019-06-29 09:52:00,9.0,3.49,19.216666666666665,Jun,Friday,early afternoon (12-15),More than 18 hours,1,0.957,87,203,116,0.04
1424,1425,Bl2,Share-3,Shared,Shared-6,2019-06-28 15:12:00,15,2019-06-28 16:59:00,16.0,11.85,1.7833333333333334,Jun,Friday,late afternoon (15-18),Less than 3 hours,1,0.853,91,101,10,0.14
1425,1426,Bl2,Bl2-3,Private,,2019-06-28 15:13:00,15,2019-06-29 09:15:00,9.0,28.69,18.033333333333335,Jun,Friday,late afternoon (15-18),More than 18 hours,1,0.645,91,199,108,0.36
1426,1427,AdO1,AdO1-2,Private,,2019-06-28 15:34:00,15,2019-06-28 18:52:00,18.0,8.5,3.3,Jun,Friday,late afternoon (15-18),Between 3 and 6 hours,1,0.895,93,113,20,0.1
1427,1428,Bl2,Bl2-2,Private,,2019-06-29 09:29:00,9,2019-06-29 11:17:00,11.0,6.46,1.8,Jun,Saturday,late morning (9-12),Less than 3 hours,1,0.92,56,67,11,0.08
1428,1429,UT9,Share-15,Shared,Shared-12,2019-06-29 10:14:00,10,2019-06-29 11:31:00,11.0,4.23,1.2833333333333334,Jun,Saturday,late morning (9-12),Less than 3 hours,1,0.948,61,69,8,0.06
1429,1430,Bl2,Bl2-2,Private,,2019-06-29 12:28:00,12,2019-06-29 22:43:00,22.0,11.08,10.25,Jun,Saturday,early afternoon (12-15),Between 9 and 12 hours,1,0.863,74,136,62,0.14
1432,1433,AdO1,AdO1-2,Private,,2019-06-29 16:15:00,16,2019-06-29 19:12:00,19.0,6.98,2.95,Jun,Saturday,late afternoon (15-18),Less than 3 hours,1,0.914,97,115,18,0.08
1434,1435,Bl2,Bl2-4,Private,,2019-06-29 18:39:00,18,2019-06-30 17:54:00,17.0,24.93,23.25,Jun,Saturday,early evening (18-21),More than 18 hours,1,0.692,111,251,140,0.3
1435,1436,AdO3,AdO3-2,Private,,2019-06-29 19:01:00,19,2019-06-29 22:33:00,22.0,13.27,3.533333333333333,Jun,Saturday,early evening (18-21),Between 3 and 6 hours,1,0.836,114,135,21,0.16
1436,1437,Bl2,Bl2-1,Private,,2019-06-29 22:39:00,22,2019-06-30 09:28:00,9.0,14.29,10.816666666666666,Jun,Saturday,late evening (21-midnight),Between 9 and 12 hours,1,0.823,135,200,65,0.18
1437,1438,AdO3,AdO3-2,Private,,2019-06-30 00:43:00,0,2019-06-30 12:53:00,12.0,17.76,12.166666666666666,Jun,Sunday,early night (midnight-3),Between 12 and 15 hours,1,0.78,4,77,73,0.22
1438,1439,Bl2,Bl2-2,Private,,2019-06-30 15:05:00,15,2019-07-01 09:25:00,9.0,17.26,18.333333333333332,Jun,Sunday,late afternoon (15-18),More than 18 hours,1,0.787,90,200,110,0.22
1439,1440,AsO2,AsO2-1,Private,,2019-06-30 17:34:00,17,2019-07-01 07:19:00,7.0,8.36,13.75,Jun,Sunday,late afternoon (15-18),Between 12 and 15 hours,1,0.897,105,187,82,0.1
1440,1441,Bl2,Bl2-3,Private,,2019-06-30 18:23:00,18,2019-07-01 07:47:00,7.0,43.67,13.4,Jun,Sunday,early evening (18-21),Between 12 and 15 hours,1,0.46,110,190,80,0.54
1442,1443,AsO2,AsO2-1,Private,,2019-07-01 16:33:00,16,2019-07-02 06:54:00,6.0,12.39,14.35,Jul,Monday,late afternoon (15-18),Between 12 and 15 hours,1,0.847,99,185,86,0.16
1444,1445,AsO2,Share-20,Shared,Shared-5,2019-07-01 17:46:00,17,2019-07-01 20:31:00,20.0,9.52,2.75,Jul,Monday,late afternoon (15-18),Less than 3 hours,1,0.882,106,123,17,0.12
1445,1446,AdO1,AdO1-1,Private,,2019-07-01 20:27:00,20,2019-07-02 10:03:00,10.0,24.34,13.6,Jul,Monday,early evening (18-21),Between 12 and 15 hours,1,0.699,122,204,82,0.3
1446,1447,Bl2,Bl2-2,Private,,2019-07-01 20:54:00,20,2019-07-02 10:35:00,10.0,9.01,13.683333333333334,Jul,Monday,early evening (18-21),Between 12 and 15 hours,1,0.889,125,207,82,0.12
1447,1448,Bl2,Bl2-1,Private,,2019-07-02 07:53:00,7,2019-07-02 08:59:00,8.0,1.84,1.1,Jul,Tuesday,early morning (6-9),Less than 3 hours,1,0.977,47,53,6,0.02
1448,1449,Bl2,MS22-1,Shared,Shared-6,2019-07-02 10:52:00,10,2019-07-02 13:44:00,13.0,20.6,2.8666666666666667,Jul,Tuesday,late morning (9-12),Less than 3 hours,1,0.745,65,82,17,0.26
1449,1450,Bl2,Share-3,Shared,Shared-6,2019-07-02 14:18:00,14,2019-07-02 18:28:00,18.0,28.07,4.166666666666667,Jul,Tuesday,early afternoon (12-15),Between 3 and 6 hours,1,0.653,85,110,25,0.34
1450,1451,Bl2,Bl2-1,Private,,2019-07-02 14:19:00,14,2019-07-02 15:58:00,15.0,5.97,1.65,Jul,Tuesday,early afternoon (12-15),Less than 3 hours,1,0.926,85,95,10,0.08
1451,1452,UT9,Share-11,Shared,Shared-12,2019-07-02 16:14:00,16,2019-07-03 00:10:00,0.0,17.0,7.933333333333334,Jul,Tuesday,late afternoon (15-18),Between 6 and 9  hours,1,0.79,97,145,48,0.22
1452,1453,AsO2,AsO2-1,Private,,2019-07-02 16:21:00,16,2019-07-03 07:05:00,7.0,13.15,14.733333333333333,Jul,Tuesday,late afternoon (15-18),Between 12 and 15 hours,1,0.837,98,186,88,0.16
1453,1454,AdO3,AdO3-2,Private,,2019-07-02 18:46:00,18,2019-07-02 23:17:00,23.0,8.88,4.516666666666667,Jul,Tuesday,early evening (18-21),Between 3 and 6 hours,1,0.89,112,139,27,0.1
1454,1455,AdO1,AdO1-2,Private,,2019-07-02 21:49:00,21,2019-07-03 10:49:00,10.0,9.57,13.0,Jul,Tuesday,late evening (21-midnight),Between 12 and 15 hours,1,0.882,130,208,78,0.12
1455,1456,Bl2,Bl2-1,Private,,2019-07-03 09:51:00,9,2019-07-03 20:05:00,20.0,17.77,10.233333333333333,Jul,Wednesday,late morning (9-12),Between 9 and 12 hours,1,0.78,59,120,61,0.22
1456,1457,AsO2,AsO2-1,Private,,2019-07-03 18:28:00,18,2019-07-04 07:33:00,7.0,12.37,13.083333333333334,Jul,Wednesday,early evening (18-21),Between 12 and 15 hours,1,0.847,110,189,79,0.16
1457,1458,Bl2,Share-7,Shared,Shared-6,2019-07-03 18:53:00,18,2019-07-03 22:28:00,22.0,24.46,3.5833333333333335,Jul,Wednesday,early evening (18-21),Between 3 and 6 hours,1,0.698,113,134,21,0.3
1458,1459,AdO1,AdO1-2,Private,,2019-07-03 19:35:00,19,2019-07-04 12:53:00,12.0,6.73,17.3,Jul,Wednesday,early evening (18-21),Between 15 and 18 hours,1,0.917,117,221,104,0.08
1459,1460,AdO3,AdO3-3,Private,,2019-07-03 19:39:00,19,2019-07-04 10:04:00,10.0,15.28,14.416666666666666,Jul,Wednesday,early evening (18-21),Between 12 and 15 hours,1,0.811,117,204,87,0.18
1460,1461,AdO1,AdO1-1,Private,,2019-07-03 20:23:00,20,2019-07-04 16:11:00,16.0,18.24,19.8,Jul,Wednesday,early evening (18-21),More than 18 hours,1,0.774,122,241,119,0.22
1461,1462,Bl2,Bl2-4,Private,,2019-07-04 02:38:00,2,2019-07-04 17:27:00,17.0,10.63,14.816666666666666,Jul,Thursday,early night (midnight-3),Between 12 and 15 hours,1,0.869,15,104,89,0.14
1462,1463,Bl2,Share-3,Shared,Shared-6,2019-07-04 14:00:00,14,2019-07-04 17:56:00,17.0,26.4,3.933333333333333,Jul,Thursday,early afternoon (12-15),Between 3 and 6 hours,1,0.674,84,107,23,0.32
1464,1465,UT9,Share-6,Shared,Shared-12,2019-07-04 14:15:00,14,2019-07-04 15:25:00,15.0,4.78,1.1666666666666667,Jul,Thursday,early afternoon (12-15),Less than 3 hours,1,0.941,85,92,7,0.06
1465,1466,Bl2,Bl2-3,Private,,2019-07-04 15:22:00,15,2019-07-05 08:11:00,8.0,22.65,16.816666666666666,Jul,Thursday,late afternoon (15-18),Between 15 and 18 hours,1,0.72,92,193,101,0.28
1467,1468,AsO2,AsO2-1,Private,,2019-07-04 16:58:00,16,2019-07-05 07:30:00,7.0,15.22,14.533333333333333,Jul,Thursday,late afternoon (15-18),Between 12 and 15 hours,1,0.812,101,189,88,0.18
1469,1470,Bl2,Bl2-2,Private,,2019-07-04 21:18:00,21,2019-07-04 22:22:00,22.0,3.67,1.0666666666666667,Jul,Thursday,late evening (21-midnight),Less than 3 hours,1,0.955,127,134,7,0.04
1470,1471,Bl2,Bl2-2,Private,,2019-07-05 13:19:00,13,2019-07-05 19:02:00,19.0,14.4,5.716666666666667,Jul,Friday,early afternoon (12-15),Between 3 and 6 hours,1,0.822,79,114,35,0.18
1471,1472,Bl2,Share-18,Shared,Shared-7,2019-07-05 21:55:00,21,2019-07-06 11:12:00,11.0,29.71,13.283333333333333,Jul,Friday,late evening (21-midnight),Between 12 and 15 hours,1,0.633,131,211,80,0.36
1472,1473,Bl2,Bl2-1,Private,,2019-07-05 22:39:00,22,2019-07-06 10:30:00,10.0,15.18,11.85,Jul,Friday,late evening (21-midnight),Between 9 and 12 hours,1,0.812,135,207,72,0.18
1473,1474,AdO1,AdO1-2,Private,,2019-07-05 22:53:00,22,2019-07-06 20:21:00,20.0,6.32,21.466666666666665,Jul,Friday,late evening (21-midnight),More than 18 hours,1,0.922,137,266,129,0.08
1474,1475,AdO3,AdO3-3,Private,,2019-07-06 12:20:00,12,2019-07-06 14:31:00,14.0,7.76,2.183333333333333,Jul,Saturday,early afternoon (12-15),Less than 3 hours,1,0.904,74,87,13,0.1
1475,1476,UT9,Share-12,Shared,Shared-12,2019-07-06 20:22:00,20,2019-07-07 09:05:00,9.0,22.11,12.716666666666667,Jul,Saturday,early evening (18-21),Between 12 and 15 hours,1,0.727,122,198,76,0.28
1476,1477,AsO2,Share-4,Shared,Shared-5,2019-07-07 12:06:00,12,2019-07-07 13:42:00,13.0,5.48,1.6,Jul,Sunday,early afternoon (12-15),Less than 3 hours,1,0.932,72,82,10,0.06
1478,1479,AsO2,Share-4,Shared,Shared-5,2019-07-07 14:05:00,14,2019-07-07 16:12:00,16.0,4.52,2.1166666666666667,Jul,Sunday,early afternoon (12-15),Less than 3 hours,1,0.944,84,97,13,0.06
1480,1481,AdO3,AdO3-3,Private,,2019-07-07 18:20:00,18,2019-07-08 10:00:00,10.0,5.0,15.666666666666666,Jul,Sunday,early evening (18-21),Between 15 and 18 hours,1,0.938,110,204,94,0.06
1481,1482,Bl2,Bl2-6,Private,,2019-07-07 19:41:00,19,2019-07-08 18:35:00,18.0,13.39,22.9,Jul,Sunday,early evening (18-21),More than 18 hours,1,0.834,118,255,137,0.16
1482,1483,Bl2,Bl2-4,Private,,2019-07-07 20:57:00,20,2019-07-08 11:36:00,11.0,18.06,14.65,Jul,Sunday,early evening (18-21),Between 12 and 15 hours,1,0.777,125,213,88,0.22
1483,1484,Bl2,Bl2-2,Private,,2019-07-07 21:05:00,21,2019-07-07 22:31:00,22.0,5.16,1.4333333333333333,Jul,Sunday,late evening (21-midnight),Less than 3 hours,1,0.936,126,135,9,0.06
1484,1485,UT9,Share-12,Shared,Shared-12,2019-07-07 21:40:00,21,2019-07-08 08:48:00,8.0,26.28,11.133333333333333,Jul,Sunday,late evening (21-midnight),Between 9 and 12 hours,1,0.675,130,196,66,0.32
1485,1486,AdO1,AdO1-2,Private,,2019-07-07 21:51:00,21,2019-07-08 09:17:00,9.0,6.32,11.433333333333334,Jul,Sunday,late evening (21-midnight),Between 9 and 12 hours,1,0.922,131,199,68,0.08
1486,1487,AdO1,AdO1-1,Private,,2019-07-07 21:56:00,21,2019-07-08 12:48:00,12.0,16.68,14.866666666666667,Jul,Sunday,late evening (21-midnight),Between 12 and 15 hours,1,0.794,131,220,89,0.2
1487,1488,Bl2,Bl2-1,Private,,2019-07-07 23:26:00,23,2019-07-08 07:00:00,7.0,11.71,7.566666666666666,Jul,Sunday,late evening (21-midnight),Between 6 and 9  hours,1,0.855,140,186,46,0.14
1488,1489,Bl2,Bl2-2,Private,,2019-07-08 01:13:00,1,2019-07-08 09:14:00,9.0,7.56,8.016666666666667,Jul,Monday,early night (midnight-3),Between 6 and 9  hours,1,0.907,7,55,48,0.1
1489,1490,AsO2,AsO2-1,Private,,2019-07-08 14:12:00,14,2019-07-09 11:37:00,11.0,14.91,21.416666666666668,Jul,Monday,early afternoon (12-15),More than 18 hours,1,0.816,85,213,128,0.18
1490,1491,Bl2,Bl2-3,Private,,2019-07-08 16:23:00,16,2019-07-09 07:32:00,7.0,17.71,15.15,Jul,Monday,late afternoon (15-18),Between 15 and 18 hours,1,0.781,98,189,91,0.22
1491,1492,AsO2,Share-20,Shared,Shared-5,2019-07-08 19:31:00,19,2019-07-08 23:46:00,23.0,12.84,4.25,Jul,Monday,early evening (18-21),Between 3 and 6 hours,1,0.841,117,142,25,0.16
1493,1494,Bl2,Bl2-1,Private,,2019-07-08 22:47:00,22,2019-07-09 06:51:00,6.0,12.58,8.066666666666666,Jul,Monday,late evening (21-midnight),Between 6 and 9  hours,1,0.844,136,185,49,0.16
1494,1495,Bl2,Bl2-3,Private,,2019-07-09 15:02:00,15,2019-07-10 08:00:00,8.0,10.06,16.966666666666665,Jul,Tuesday,late afternoon (15-18),Between 15 and 18 hours,1,0.876,90,192,102,0.12
1495,1496,AsO2,AsO10-4,Shared,Shared-5,2019-07-09 16:32:00,16,2019-07-09 20:39:00,20.0,25.61,4.116666666666666,Jul,Tuesday,late afternoon (15-18),Between 3 and 6 hours,1,0.683,99,123,24,0.32
1496,1497,Bl2,Share-3,Shared,Shared-6,2019-07-09 20:45:00,20,2019-07-10 00:04:00,0.0,22.28,3.316666666666667,Jul,Tuesday,early evening (18-21),Between 3 and 6 hours,1,0.724,124,144,20,0.28
1497,1498,AsO2,SR14-2,Shared,Shared-5,2019-07-09 23:18:00,23,2019-07-10 13:34:00,13.0,54.92,14.266666666666667,Jul,Tuesday,late evening (21-midnight),Between 12 and 15 hours,1,0.321,139,225,86,0.68
1498,1499,Bl2,Share-7,Shared,Shared-7,2019-07-09 23:55:00,23,2019-07-10 08:32:00,8.0,40.88,8.616666666666667,Jul,Tuesday,late evening (21-midnight),Between 6 and 9  hours,1,0.494,143,195,52,0.5
1501,1502,Bl2,Bl2-3,Private,,2019-07-10 16:14:00,16,2019-07-11 09:31:00,9.0,25.96,17.283333333333335,Jul,Wednesday,late afternoon (15-18),Between 15 and 18 hours,1,0.679,97,201,104,0.32
1502,1503,Bl2,Bl2-1,Private,,2019-07-10 16:59:00,16,2019-07-11 06:44:00,6.0,11.47,13.75,Jul,Wednesday,late afternoon (15-18),Between 12 and 15 hours,1,0.858,101,184,83,0.14
1503,1504,AsO2,Share-20,Shared,Shared-5,2019-07-12 08:04:00,8,2019-07-12 15:25:00,15.0,15.86,7.35,Jul,Friday,early morning (6-9),Between 6 and 9  hours,1,0.804,48,92,44,0.2
1504,1505,Bl2,Share-39,Shared,Shared-6,2019-07-13 13:18:00,13,2019-07-13 15:34:00,15.0,7.17,2.2666666666666666,Jul,Saturday,early afternoon (12-15),Less than 3 hours,1,0.911,79,93,14,0.08
1506,1507,Bl2,Bl2-4,Private,,2019-07-13 14:38:00,14,2019-07-14 13:58:00,13.0,21.38,23.333333333333332,Jul,Saturday,early afternoon (12-15),More than 18 hours,1,0.736,87,227,140,0.26
